source_id,image,caption,dominant_color,primary_shape,noun_phrase
00506,D:\openclaw-thalamus-cache\data\coco_5k\00506\image.jpg,A bunch of birds sitting in a bread basket.,tan,rectangular,tan rectangular basket
00516,D:\openclaw-thalamus-cache\data\coco_5k\00516\image.jpg,A wooden bench sitting next to an entrance.,green,rectangular,green rectangular bench
00526,D:\openclaw-thalamus-cache\data\coco_5k\00526\image.jpg,A picture advertising Arizona tourism in an airport,black,rectangular,black rectangular television
00531,D:\openclaw-thalamus-cache\data\coco_5k\00531\image.jpg,the person is sitting at a desk  with a television behind him,black,rectangular,black rectangular screen
00547,D:\openclaw-thalamus-cache\data\coco_5k\00547\image.jpg,"The side of an airplane that is parked, and an Air China sign on the side of the plane.",white,long,white long airplane
00552,D:\openclaw-thalamus-cache\data\coco_5k\00552\image.jpg,A man in a safety vest holds him arms up as he stands in front of an airplane.,white,long,white long airplane
00557,D:\openclaw-thalamus-cache\data\coco_5k\00557\image.jpg,a large air plane is parked out on a grass field,black,long,black long airplane
00562,D:\openclaw-thalamus-cache\data\coco_5k\00562\image.jpg,A plane just outside of a terminal with other planes in the background.,white,long,white long airplane
00572,D:\openclaw-thalamus-cache\data\coco_5k\00572\image.jpg,A man sitting on a large bench talking on a cell phone.,yellow,rectangular,yellow rectangular barrier
00577,D:\openclaw-thalamus-cache\data\coco_5k\00577\image.jpg,Man bending down to check out a model plain that is parked in the grass,red,long,red long airplane
00602,D:\openclaw-thalamus-cache\data\coco_5k\00602\image.jpg,The snow covered mountain looks over the small city.,white,long,white long airplane
00617,D:\openclaw-thalamus-cache\data\coco_5k\00617\image.jpg,A giraffe with a mouth full of grass in front of a forest.,brown,long,brown long giraffe
00622,D:\openclaw-thalamus-cache\data\coco_5k\00622\image.jpg,A giraffe standing in the grass near a tree.,tan,long,tan long giraffe
00647,D:\openclaw-thalamus-cache\data\coco_5k\00647\image.jpg,A lone giraffe walking in an open field.,brown,long,brown long giraffe
00652,D:\openclaw-thalamus-cache\data\coco_5k\00652\image.jpg,Two giraffes standing together in an open field zoo den,brown,long,brown long giraffe
00677,D:\openclaw-thalamus-cache\data\coco_5k\00677\image.jpg,A street light with many signs on it stands to the foreground of a large building standing beside a naked tree.,black,round,black round traffic light
00682,D:\openclaw-thalamus-cache\data\coco_5k\00682\image.jpg,A bench with potted plants sitting on top of it.,red,rectangular,red rectangular bench
00707,D:\openclaw-thalamus-cache\data\coco_5k\00707\image.jpg,"Close up of a traffic light with three lights, the top illuminated red with a person image, the second down not illuminated, and the bottom on hanging down.",red,round,red round traffic light
00757,D:\openclaw-thalamus-cache\data\coco_5k\00757\image.jpg,A rusted pink fire hydrant in the grass,gray,cylindrical,gray cylindrical hydrant
00762,D:\openclaw-thalamus-cache\data\coco_5k\00762\image.jpg,A red fire hydrant sitting next to a sandwich sign.,red,cylindrical,red cylindrical hydrant
00787,D:\openclaw-thalamus-cache\data\coco_5k\00787\image.jpg,A float in a parade on a sunny day.,red,rectangular,red rectangular truck
00812,D:\openclaw-thalamus-cache\data\coco_5k\00812\image.jpg,A black duck floating in a wavy pond.,black,oval,black oval bird
00847,D:\openclaw-thalamus-cache\data\coco_5k\00847\image.jpg,Red wooden door with a stop sign requiring ID,red,rectangular,red rectangular door
00887,D:\openclaw-thalamus-cache\data\coco_5k\00887\image.jpg,two giraffes are standing together outside a barn,brown,long,brown long giraffe
