source_id,image,caption,dominant_color,primary_shape,noun_phrase
00021,D:\openclaw-thalamus-cache\data\coco_5k\00021\image.jpg,A girl smiles as she holds a cat and wears a brightly colored skirt.,,,
00022,D:\openclaw-thalamus-cache\data\coco_5k\00022\image.jpg,a woman is holding a cat in her kitchen,,,
00023,D:\openclaw-thalamus-cache\data\coco_5k\00023\image.jpg,A woman is working in a kitchen carrying a soft toy.,,,
00024,D:\openclaw-thalamus-cache\data\coco_5k\00024\image.jpg,A woman is holding a cat in her kitchen.,,,
00025,D:\openclaw-thalamus-cache\data\coco_5k\00025\image.jpg,A commercial stainless kitchen with a pot of food cooking.,,,
00026,D:\openclaw-thalamus-cache\data\coco_5k\00026\image.jpg,Some food sits in a pot in a kitchen.,,,
00027,D:\openclaw-thalamus-cache\data\coco_5k\00027\image.jpg,A kitchen has all stainless steel appliances and counters.,,,
00028,D:\openclaw-thalamus-cache\data\coco_5k\00028\image.jpg,a kitchen with a sink and many cooking machines and a pot of food,,,
00029,D:\openclaw-thalamus-cache\data\coco_5k\00029\image.jpg,Food cooks in a pot on a stove in a kitchen.,,,
00030,D:\openclaw-thalamus-cache\data\coco_5k\00030\image.jpg,Two men wearing aprons working in a commercial-style kitchen.,,,
00031,D:\openclaw-thalamus-cache\data\coco_5k\00031\image.jpg,Chefs preparing food in a professional metallic style kitchen.,,,
00032,D:\openclaw-thalamus-cache\data\coco_5k\00032\image.jpg,Two people standing around in a large kitchen.,,,
00033,D:\openclaw-thalamus-cache\data\coco_5k\00033\image.jpg,A commercial kitchen with two men working to prepare several plates.,,,
00034,D:\openclaw-thalamus-cache\data\coco_5k\00034\image.jpg,two men in white shirts in a large steel kitchen,,,
00035,D:\openclaw-thalamus-cache\data\coco_5k\00035\image.jpg,Two chefs in a restaurant kitchen preparing food.,,,
00036,D:\openclaw-thalamus-cache\data\coco_5k\00036\image.jpg,Two cooks are cooking the food someone ordered at this restaurant,,,
00037,D:\openclaw-thalamus-cache\data\coco_5k\00037\image.jpg,The chef is cooking with pans on the stove next to an oven.,,,
00038,D:\openclaw-thalamus-cache\data\coco_5k\00038\image.jpg,Two men that are standing in a kitchen.,,,
00039,D:\openclaw-thalamus-cache\data\coco_5k\00039\image.jpg,Two cooks are near the stove in a stainless steel kitchen.,,,
00040,D:\openclaw-thalamus-cache\data\coco_5k\00040\image.jpg,this is a very dark picture of a room with a shelf,,,
00041,D:\openclaw-thalamus-cache\data\coco_5k\00041\image.jpg,a cluttered room with a table and shelf on the wall.,,,
00042,D:\openclaw-thalamus-cache\data\coco_5k\00042\image.jpg,"A view of a messy room, with shelves on the wall.",,,
00043,D:\openclaw-thalamus-cache\data\coco_5k\00043\image.jpg,A dark and cluttered storage area with wood walls.,,,
00044,D:\openclaw-thalamus-cache\data\coco_5k\00044\image.jpg,A dim lit room consisting of many objects put together.,,,
00045,D:\openclaw-thalamus-cache\data\coco_5k\00045\image.jpg,A kitchen filled with black appliances and lots of counter top space.,,,
00046,D:\openclaw-thalamus-cache\data\coco_5k\00046\image.jpg,some brown cabinets a black oven a tea kettle and a microwave,,,
00047,D:\openclaw-thalamus-cache\data\coco_5k\00047\image.jpg,A small kitchen with glass and wooden cabinets.,,,
00048,D:\openclaw-thalamus-cache\data\coco_5k\00048\image.jpg,A modern style kitchen filled with may different items.,,,
00049,D:\openclaw-thalamus-cache\data\coco_5k\00049\image.jpg,A kitchen with wooden cabinets and black appliances.,,,
00050,D:\openclaw-thalamus-cache\data\coco_5k\00050\image.jpg,A professional kitchen filled with sinks and appliances.,,,
00051,D:\openclaw-thalamus-cache\data\coco_5k\00051\image.jpg,A kitchen area with toilet and various cleaning appliances.,,,
00052,D:\openclaw-thalamus-cache\data\coco_5k\00052\image.jpg,A commercial dish washing station with a toilet in it.,,,
00053,D:\openclaw-thalamus-cache\data\coco_5k\00053\image.jpg,A toilet and mop bucket in a kitchen.,,,
00054,D:\openclaw-thalamus-cache\data\coco_5k\00054\image.jpg,"A cluttered room with a sink, a toilet and in industrial mop bucket.",,,
00055,D:\openclaw-thalamus-cache\data\coco_5k\00055\image.jpg,A kitchen with wood floors and lots of furniture.,,,
00056,D:\openclaw-thalamus-cache\data\coco_5k\00056\image.jpg,"A beautiful, open kitchen and dining room area features an island in the center and wood cabinets and large windows.",,,
00057,D:\openclaw-thalamus-cache\data\coco_5k\00057\image.jpg,A kitchen made of mostly wood with a small desk with a laptop.,,,
00058,D:\openclaw-thalamus-cache\data\coco_5k\00058\image.jpg,A very spacious room with a kitchen and dining area.,,,
00059,D:\openclaw-thalamus-cache\data\coco_5k\00059\image.jpg,A full view of an open kitchen and dining area.,,,
00060,D:\openclaw-thalamus-cache\data\coco_5k\00060\image.jpg,A woman eating vegetables in front of a stove.,,,
00061,D:\openclaw-thalamus-cache\data\coco_5k\00061\image.jpg,A woman forks vegetables out of a bowl into her mouth.,,,
00062,D:\openclaw-thalamus-cache\data\coco_5k\00062\image.jpg,Woman eating an assortment of mixed vegetables in a bowl.,,,
00063,D:\openclaw-thalamus-cache\data\coco_5k\00063\image.jpg,A young woman standing in a kitchen eats a plate of vegetables.,,,
00064,D:\openclaw-thalamus-cache\data\coco_5k\00064\image.jpg,A woman eating fresh vegetables from a bowl.,,,
00065,D:\openclaw-thalamus-cache\data\coco_5k\00065\image.jpg,A boy performing a kickflip on his skateboard on a city street.,,,
00066,D:\openclaw-thalamus-cache\data\coco_5k\00066\image.jpg,A man is doing a trick on a skateboard,,,
00067,D:\openclaw-thalamus-cache\data\coco_5k\00067\image.jpg,A guy jumps in the air with his skateboard beneath him.,,,
00068,D:\openclaw-thalamus-cache\data\coco_5k\00068\image.jpg,Man in all black doing a trick on his skateboard.,,,
00069,D:\openclaw-thalamus-cache\data\coco_5k\00069\image.jpg,A skateboarder flipping his board on a street.,,,
00070,D:\openclaw-thalamus-cache\data\coco_5k\00070\image.jpg,"A kitchen with a stove, microwave and refrigerator.",,,
00071,D:\openclaw-thalamus-cache\data\coco_5k\00071\image.jpg,"A refrigerator, oven and microwave sitting in a kitchen.",,,
00072,D:\openclaw-thalamus-cache\data\coco_5k\00072\image.jpg,The kitchenette uses  small space to great efficiency.,,,
00073,D:\openclaw-thalamus-cache\data\coco_5k\00073\image.jpg,an image of a kitchen setting with black appliances,,,
00074,D:\openclaw-thalamus-cache\data\coco_5k\00074\image.jpg,"A kitchen with cabinets, a stove, microwave and refrigerator.",,,
00075,D:\openclaw-thalamus-cache\data\coco_5k\00075\image.jpg,The dining table near the kitchen has a bowl of fruit on it.,,,
00076,D:\openclaw-thalamus-cache\data\coco_5k\00076\image.jpg,A small kitchen has various appliances and a table.,,,
00077,D:\openclaw-thalamus-cache\data\coco_5k\00077\image.jpg,The kitchen is clean and ready for us to see.,,,
00078,D:\openclaw-thalamus-cache\data\coco_5k\00078\image.jpg,A kitchen and dining area decorated in white.,,,
00079,D:\openclaw-thalamus-cache\data\coco_5k\00079\image.jpg,A kitchen that has a bowl of fruit on the table.,,,
00080,D:\openclaw-thalamus-cache\data\coco_5k\00080\image.jpg,A group of people riding on the back of a loaded red pickup truck.,,,
00081,D:\openclaw-thalamus-cache\data\coco_5k\00081\image.jpg,A truck with a number of people and things in the back,,,
00082,D:\openclaw-thalamus-cache\data\coco_5k\00082\image.jpg,Men are crowded on the back of a small overloaded pickup truck.,,,
00083,D:\openclaw-thalamus-cache\data\coco_5k\00083\image.jpg,An old pick up truck over loaded with people and cargo.,,,
00084,D:\openclaw-thalamus-cache\data\coco_5k\00084\image.jpg,A truck carries a large amount of items and a few people.,,,
00085,D:\openclaw-thalamus-cache\data\coco_5k\00085\image.jpg,A large boat filled with mean on wheels.,,,
00086,D:\openclaw-thalamus-cache\data\coco_5k\00086\image.jpg,A bunch of people aboard a boat with wheels.,,,
00087,D:\openclaw-thalamus-cache\data\coco_5k\00087\image.jpg,A boat is being rolled on a trailer,,,
00088,D:\openclaw-thalamus-cache\data\coco_5k\00088\image.jpg,A large boat full of men is sitting on a cart,,,
00089,D:\openclaw-thalamus-cache\data\coco_5k\00089\image.jpg,A boat full of people is on a trailer with wheels.,,,
00090,D:\openclaw-thalamus-cache\data\coco_5k\00090\image.jpg,several young students working at a desk with multiple computers,,,
00091,D:\openclaw-thalamus-cache\data\coco_5k\00091\image.jpg,"A young man at his workstation examines the monitor of a lap top, with one hand on the keyboard and the other on the mouse.",,,
00092,D:\openclaw-thalamus-cache\data\coco_5k\00092\image.jpg,A man is working on a laptop next to other computers.,,,
00093,D:\openclaw-thalamus-cache\data\coco_5k\00093\image.jpg,"People in a large room, use multiple computers.",,,
00094,D:\openclaw-thalamus-cache\data\coco_5k\00094\image.jpg,A young professional is working at his laptop while his coworker is reading material.,,,
00095,D:\openclaw-thalamus-cache\data\coco_5k\00095\image.jpg,A man riding an elephant into some water of a creek.,,,
00096,D:\openclaw-thalamus-cache\data\coco_5k\00096\image.jpg,man riding an elephant into water surrounded by forest,,,
00097,D:\openclaw-thalamus-cache\data\coco_5k\00097\image.jpg,A man riding an elephant in a river.,,,
00098,D:\openclaw-thalamus-cache\data\coco_5k\00098\image.jpg,A man in a brown shirt rides an elephant into the water.,,,
00099,D:\openclaw-thalamus-cache\data\coco_5k\00099\image.jpg,A man rides an elephant into a river.,,,
